data,ipca_2032,ipca_2040,ipca_2045_js
2026-04-25,7.56,7.06,7.10
2026-04-27,7.57,7.03,7.10
2026-04-28,7.59,7.05,7.12
2026-04-29,7.67,7.09,7.17
2026-04-30,7.62,7.10,7.15
2026-05-01,7.62,7.10,7.15
2026-05-04,7.68,7.14,7.20
2026-05-05,7.67,7.14,7.19
2026-05-06,7.63,7.10,7.15
2026-05-07,7.64,7.12,7.17
2026-05-08,7.60,7.10,7.15
2026-05-15,7.86,7.24,7.31
2026-05-18,7.84,7.30,7.33
2026-05-19,7.88,7.35,7.38
2026-05-20,7.85,7.33,7.37
2026-05-21,7.85,7.34,7.37
2026-05-22,7.82,7.35,7.37
2026-05-25,7.76,7.31,7.34
2026-05-26,7.82,7.35,7.37
2026-05-28,7.80,7.31,7.32
2026-05-29,7.81,7.29,7.32
2026-06-02,7.95,7.37,7.40
2026-06-03,8.04,7.44,7.47
2026-06-04,8.15,7.44,7.49
2026-06-09,8.32,7.66,7.71
2026-06-10,8.37,7.68,7.71
2026-06-25,8.37,7.59,7.60
2026-06-26,8.29,7.55,7.56
2026-06-29,8.30,7.64,7.62
2026-06-30,8.29,7.66,7.64
2026-07-01,8.32,7.69,7.68
2026-07-02,8.42,7.78,7.74
2026-07-03,8.33,7.74,7.68
2026-07-06,8.27,7.64,7.60
2026-07-07,8.27,7.63,7.60
2026-07-08,8.27,7.60,7.55
2026-07-09,8.19,7.58,7.55
2026-07-10,8.08,7.53,7.51
2026-07-13,8.12,7.52,7.52
2026-07-14,8.08,7.51,7.53
2026-07-15,8.09,7.53,7.53
2026-07-16,8.11,7.55,7.54
2026-07-21,8.20,7.60,7.57
2026-07-27,8.23,7.67,7.63
